Index,NN,QNN,QNN Noisy
0,0.6599999999999999,0.76,0.5800000000000001
1,0.53,0.82,0.79
2,0.53,0.9,0.85
3,0.54,0.9200000000000002,0.85
4,0.49000000000000005,0.95,0.9
5,0.5199999999999999,0.95,0.95
6,0.57,0.9800000000000001,0.97
7,0.6,0.9800000000000001,0.96
8,0.5800000000000001,0.99,0.9700000000000001
9,0.53,0.99,0.9700000000000001
10,0.54,0.9700000000000001,nan
11,0.55,0.9700000000000001,nan
12,0.5599999999999999,0.9700000000000001,nan
13,0.5599999999999999,0.9700000000000001,nan
14,0.5599999999999999,0.9700000000000001,nan
15,0.5900000000000001,0.9700000000000001,nan
16,0.62,0.9700000000000001,nan
17,0.6199999999999999,0.9700000000000001,nan
18,0.6199999999999999,0.9800000000000001,nan
19,0.63,0.99,nan
20,0.63,0.99,nan
21,0.65,0.99,nan
22,0.6399999999999999,0.99,nan
23,0.65,0.99,nan
24,0.67,0.99,nan
25,0.69,1.0,nan
26,0.71,1.0,nan
27,0.7499999999999999,1.0,nan
28,0.75,1.0,nan
29,0.77,1.0,nan
30,0.78,1.0,nan
31,0.8200000000000001,1.0,nan
32,0.8400000000000001,1.0,nan
33,0.8400000000000001,1.0,nan
34,0.8200000000000001,1.0,nan
35,0.85,1.0,nan
36,0.8800000000000001,1.0,nan
37,0.89,1.0,nan
38,0.89,1.0,nan
39,0.89,1.0,nan
40,0.89,1.0,nan
41,0.9,1.0,nan
42,0.9,1.0,nan
43,0.9099999999999999,1.0,nan
44,0.9,1.0,nan
45,0.9,1.0,nan
46,0.9,1.0,nan
47,0.9099999999999999,1.0,nan
48,0.9099999999999999,1.0,nan
49,0.9099999999999999,1.0,nan
50,0.9199999999999999,1.0,nan
51,0.9199999999999999,1.0,nan
52,0.9199999999999999,1.0,nan
53,0.9199999999999999,1.0,nan
54,0.9199999999999999,1.0,nan
55,0.93,1.0,nan
56,0.93,1.0,nan
57,0.93,1.0,nan
58,0.9400000000000001,1.0,nan
59,0.95,1.0,nan
60,0.95,1.0,nan
61,0.95,1.0,nan
62,0.95,1.0,nan
63,0.95,1.0,nan
64,0.95,1.0,nan
65,0.95,1.0,nan
66,0.95,1.0,nan
67,0.95,1.0,nan
68,0.95,1.0,nan
69,0.95,1.0,nan
70,0.95,1.0,nan
71,0.95,1.0,nan
72,0.95,1.0,nan
73,0.95,1.0,nan
74,0.95,1.0,nan
75,0.95,1.0,nan
76,0.95,1.0,nan
77,0.95,1.0,nan
78,0.95,1.0,nan
79,0.95,1.0,nan
80,0.95,1.0,nan
81,0.95,1.0,nan
82,0.95,1.0,nan
83,0.95,1.0,nan
84,0.95,1.0,nan
85,0.95,1.0,nan
86,0.95,1.0,nan
87,0.95,1.0,nan
88,0.95,1.0,nan
89,0.95,1.0,nan
90,0.95,1.0,nan
91,0.95,1.0,nan
92,0.95,1.0,nan
93,0.95,1.0,nan
94,0.95,1.0,nan
95,0.95,1.0,nan
96,0.95,1.0,nan
97,0.95,1.0,nan
98,0.95,1.0,nan
99,0.95,1.0,nan
